小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
0,0,4,234.40957,-0.66,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,4.13
0,0,4,234.18891,-0.64,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,4.31
0,0,4,234.38381,-0.57,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,4.32
0,1,4,220.74643,1.68,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,4.1
0,1,4,219.45605,2.85,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.82
0,1,4,218.16468,1.77,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.84
0,1,2,187.06125,-0.58,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,1.77
0,1,2,183.77816,4.19,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,1.77
0,1,2,180.21866,-0.63,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,1.74
1,0,2,445.50021,26.627,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,13.49
1,0,2,446.22783,26.597,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,13.75
1,0,2,447.24769,26.517,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,13.52
1,0,2,388.91038,19.43,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.83
1,0,2,391.20767,19.41,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.91
1,0,2,393.84423,19.66,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.9
1,0,2,283.4028,-0.502,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.7
1,0,2,282.74183,-5.608,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.84
